idItinerario,codigoAeropuerto,nombreAeropuerto
122,AUC,"Arauca, Colombia"
123,AAX,"Araxa, Brazil   Araxa Airport"
124,AMH,"Arba Mintch, Ethiopia   Arba Mintch Airport"
125,ACV,"Arcata, CA, USA Arcata/Eureka Airport"
126,AQP,"Arequipa, Peru Rodriguez Ballon"
127,ARI,"Arica, Chile Chacalluta"
128,ARH,"Arkhangelsk, Russia Arkhangelsk"
129,AXM,"Armenia, Colombia   El Eden Airport"
130,ARM,"Armidale, New South Wales, Australia Armidale"
131,ATC,"Arthurs Town, Bahamas"
132,AUA,"Aruba, Aruba Reina Beatrix"
133,AVK,"Arvaikheer, Ovorhkangai, Mongolia   Arvaikheer Airport"
134,YEK,"Arviat, Canada   Arviat Airport"
135,AJR,"Arvidsjaur, Sweden   Arvidsjaur Airport"
136,AKJ,"Asahikawa, Japan Asahikawa"
137,AVL,"Asheville / Hendersonville, NC, USA Asheville Regional Airport"
138,ASB,"Ashgabat, Turkmenistan   Ashgabad Airport"
139,ASM,"Asmara, Eritrea Asmara Intl/Yohannes Iv"
140,ASO,"Asosa, Ethiopia   Asosa Airport"
141,ASE,"Aspen, CO, USA Pitkin County Airport Sardy Field"
142,ATZ,"Assiut, Egypt   Assiut Airport"
143,TSE,"Astana, Kazakhstan   Astana Airport"
144,ASF,"Astrakhan Airport   Russia"
145,OVD,"Asturias, Spain Asturias"
146,JTY,"Astypalea Island, Greece   Astypalea Airport"
147,ASU,"Asuncion, Paraguay Silvio Pettirossi"
148,ASW,"Aswan, Egypt Daraw"
149,AHN,"Athens, GA, USA"
150,ATH,"Athens, Greece   Venizelos"
151,YIB,"Atikokan, Ontario, Canada"
152,ATL,"Atlanta, GA, USA Hartsfield International"
153,ACY,"Atlantic City /Atlantic Cty, NJ, USA Atlantic City International"
154,AIY,"Atlantic City International, NJ, USA"
155,YAT,"Attawapiskat, Canada   Attawapiskat Airport"
156,AOU,"Attopeu, Laos   Attopeu Airport"
157,MER,"Atwater/Merced, California, USA   Castle Airport"
158,AKL,"Auckland, New Zealand Auckland International Airport"
159,AGB,"Augsburg, Germany Muehlhausen"
160,AGS,"Augusta, GA, USA Bush Field"
161,AUG,"Augusta, ME, USA Maine State"
162,YPJ,"Aupaluk, Canada   Aupaluk Airport"
163,IXU,"Aurangabad, India Chikkalthana"
164,AUS,"Austin, TX, USA   Austin Bergstrom International Airport (ABIA)"","
165,AVV,"Avalon, Australia   Avalon Airport"
166,AVN,"Avignon, France Caumont"
167,AYQ,"Ayers Rock, Northern Territory, Australia Connellan"
168,BCD,"Bacolod, Philippines Bacolod"
169,IXB,"Bagdogra, India Bagdogra"
170,YBG,"Bagotville, Canada   Bagotville Airport"
171,BJR,"Bahar Dar, Ethiopia   Bahar Dar Airport"
172,BHV,"Bahawalpur Airport   Vahawalpur, Pakistan"
173,BHI,"Bahia Blanca, Buenos Aires, Argentina Commandante"
174,BAH,"Bahrain, Bahrain Bahrain International Bahrain"
175,BAY,"Baia Mare, Romania   Baia Mare Airport"
176,YBC,"Baie Comeau, Quebec, Canada"
177,BKM,"Bakalalan, Malaysia   Bakalalan Airport"
178,BFL,"Bakersfield, CA, USA Meadows Field"
179,BAK,"Baku, Azerbaijan   Baku (old code)"","
180,GYD,"Baku, Azerbaijan   Geydar Aliyev Airport"
181,DPS,"Bali (Denpasar), Indonesia Ngurah Rai"
182,BPN,"Balikpapan, Indonesia   Palikpapan Sepinggan Airport"
183,BNK,"Ballina, Australia   Ballina Airport"
184,BBA,"Balmaceda, Chile   Balmaceda Teniente Vidal Airport"
185,BWI,"Baltimore, MD, USA BaltimoreWashington International"
186,ABM,"Bamaga, Queensland, Australia"
187,BKO,"Bamako, Mali Senou"
188,HOE,"Ban Hat Tai, Laos   Ban Huoeisay Airport (Ban Houei Sai/Ban Houay Xay"
189,OUI,"Ban Hat Tai, Laos   Ban Huoeisay Airport (Ban Houei Sai/Ban Houay Xay"
190,BMV,"Ban Me Thuot, Vietnam   Ban Me Thuot Airport"
191,BND,"Bandar Abbas, Iran   Bandar Abbas Airport"
192,BWN,"Bandar Seri Begawan, Brunei Darussalam Brunei International"
193,BDO,"Bandung, Indonesia Husein Sastranegara"
194,YBA,"Banff, Alberta, Canada"
195,BLR,"Bangalore (Bengalooru), India Hindustan"
196,BPX,"Bangda, China   Bangda"
197,BKK,"Bangkok, Thailand Bangkok International Airport"
198,BGR,"Bangor, ME, USA Bangor International Airport"
199,BGF,"Bangui, Central African Republic Bangui"
200,QBL,"Bani Walid, Libya"
201,BNX,"Banja Luka, Bosnia and Herzegovina   Banja Luka Airport"
202,BDJ,"Banjarmasin, Indonesia Syamsudin Noor"
203,BJL,"Banjul, Gambia Yundum International"
204,BAV,"Baotou, China   Baotou"
205,BHB,"Bar Harbor, ME, USA"
206,BGI,"Barbados (Bridgetown, Barbados)   Grantley Adams International"
207,BCI,"Barcaldine, Australia   Barcaldine Airport"
208,BCN,"Barcelona, Spain Barcelona"
209,BLA,"Barcelona, Venezuela Gral Jose Antonio Anzoategui"
210,BDU,"Bardufoss, Norway   Bardufoss Airport"
211,BRI,"Bari, Italy"
212,BNS,"Barinas, Venezuela Barinas"
213,BBN,"Bario,Malaysia   Bario Airport"
214,BAX,"Barnaul, Russia Barnaul Airport"
215,BRM,"Barquisimeto, Venezuela Barquisimeto"
216,BRR,"Barra / Hebrides Islands, Scotland, United Kingdom North Bay"
217,EJA,"Barrancabermeja, Colombia Variguies"
218,BAQ,"Barranquilla, Colombia E Cortissoz"
219,BRW,"Barrow, Alaska, USA Barrow"
220,BTI,"Barter Island, Alaska, USA   Barter Island Airport [LRRS]"","
221,UUN,"Baruun Urt, Sukhbaatar, Mongolia   Baruun Urt Airport"
222,BSL,"Basel, Switzerland   Basel Euro Airport"
223,BIA,"Bastia, Corsica, France Poretta"
224,BTH,"Batam, Indonesia   Hang Nadim Airport"
225,ZBF,"Bathurst, New Brunswick, Canada   Bathurst Airport"
226,BHS,"Bathurst, New South Wales, Australia Raglan"
227,BRT,"Bathurst Island, Northern Territory, Australia"
228,BAL,"Batman, Turkey Nearest Air Service Through Diyarbakir"
229,BTR,"Baton Rouge, LA, USA"
230,BAU,"Bauru, Brazil  Bauru Airport"
231,MBS,"Bay City / Midland / Saginaw, MI, USA TriCity Airport"
232,BYN,"Bayankhongor, Bayankhongor, Mongolia   Bayankhongor Airport"
233,BYU,"Bayreuth, Germany Bindlacher Berg"
234,BPT,"Beaumont, TX, USA Jefferson County"
235,BVA,"Beauvais Tillé Airport, France"
236,BKW,"Beckley, WV, USA"
237,BED,"Bedford, MA, USA Bedford"
238,YBW,"Bedwell Harbor, canada   Bedwell Harbor Airport"
239,EIS,"Beef Island, British Virgin Islands, Tortola/Beef Island   Beef Island Airport"
240,BEI,"Beica, Ethiopia Beica"
241,BHY,"Beihai, China   Beihai"
242,NAY,"Beijing, China   Beijing International"
243,PEK,"Beijing, China Peking Capital Airport"
244,LAQ,"Beida, Libya"
245,BEW,"Beira, Mozambique Beira"
246,BEY,"Beirut, Lebanon International"
247,BLG,"Belaga, Malaysia Airport"
248,BEL,"Belem, Para, Brazil Val De Cans"
249,BHD,"Belfast, Northern Ireland, United Kingdom Belfast Harbor"
250,BFS,"Belfast, Northern Ireland, United Kingdom Belfast International"
251,IXG,"Belgaum, India Sambre"
252,EGO,"Belgorod, Russia   Belgorod Airport"
253,BEG,"Belgrade, Yugoslavia BelgradeBeograd"
254,BZE,"Belize City, Belize Belize International"
255,TZA,"Belize City, Belize Belize Municipal"
256,XVV,"Belleville, Ontario, Canada Belleville / Via Rail Service"
257,BLI,"Bellingham, WA, USA Bellingham International"
258,CNF,"Belo Horizonte /Belo Horizon, Minas Gerais, Brazil Aeropuerto Internacional Tancredo Neves"
259,PLU,"Belo Horizonte /Belo Horizon, Minas Gerais, Brazil Confins/Pampulha"
260,BJI,"Bemidji, MN, USA Bemidji Municipal Airport"
261,BEB,"Benbecula, United Kingdom   Benbecula Airport"
262,RDM,"Bend, OR, USA   Roberts Field, Redmond, OR"
263,BLR,"Bengalooru (Bangalore), India Hindustanv"
